compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
NS-NS,young-stellar-clusters,Fragione_2020_Nbody7,Fragione and Banerjee (2020),Fragione,2020,9,https://ui.adsabs.harvard.edu/abs/2020ApJ...901L..16F/abstract,https://arxiv.org/pdf/2006.06702.pdf,Nbody7,range,0.1,,,
NS-NS,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,113.0,lower,,lower
NS-NS,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,151.0,central,,median
NS-NS,young-stellar-clusters,Santoliquido_2020_MOBSE,Santoliquido et al. (2020),"{Santoliquido}, Filippo",2020,8,https://ui.adsabs.harvard.edu/abs/2020ApJ...898..152S/abstract,https://arxiv.org/pdf/2004.09533.pdf,MOBSE,range,210.0,upper,,upper
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,9.5,,ArcaSedda26-F-1g-YC,ArcaSedda26-F-1g-YC,First-generation BBH merger rate for young clusters (model F): R_1g=22.13 × p_YC=0.109 = 2.41 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,9.0,,ArcaSedda26-Fb0-1g-YC,ArcaSedda26-Fb0-1g-YC,First-generation BBH merger rate for young clusters (model Fb0): R_1g=22.0 × p_YC=0.107 = 2.35 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,10,,ArcaSedda26-Fb1-1g-YC,ArcaSedda26-Fb1-1g-YC,First-generation BBH merger rate for young clusters (model Fb1): R_1g=23.1 × p_YC=0.118 = 2.73 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,12,,ArcaSedda26-F5-1g-YC,ArcaSedda26-F5-1g-YC,First-generation BBH merger rate for young clusters (model F5): R_1g=17.5 × p_YC=0.248 = 4.34 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,8.5,,ArcaSedda26-Fe-1g-YC,ArcaSedda26-Fe-1g-YC,First-generation BBH merger rate for young clusters (model Fe): R_1g=24.1 × p_YC=0.103 = 2.48 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,9.0,,ArcaSedda26-Fb-1g-YC,ArcaSedda26-Fb-1g-YC,First-generation BBH merger rate for young clusters (model Fb): R_1g=21.3 × p_YC=0.108 = 2.30 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,9.0,,ArcaSedda26-Fmxl-1g-YC,ArcaSedda26-Fmxl-1g-YC,First-generation BBH merger rate for young clusters (model Fmxl): R_1g=22.4 × p_YC=0.111 = 2.49 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,8.8,,ArcaSedda26-Fgp-1g-YC,ArcaSedda26-Fgp-1g-YC,First-generation BBH merger rate for young clusters (model Fgp): R_1g=21.9 × p_YC=0.101 = 2.21 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
BH-BH,young-cluster,ArcaSedda_2026_BPop,Arca Sedda et al. (2026),Arca Sedda,2026,03,,https://arxiv.org/abs/2603.20430,B-POP,range,9.0,,ArcaSedda26-Fst-1g-YC,ArcaSedda26-Fst-1g-YC,First-generation BBH merger rate for young clusters (model Fst): R_1g=21.9 × p_YC=0.099 = 2.17 Gpc^-3 yr^-1. From Table II and Table III of Arca Sedda et al. (2026) arXiv:2603.20430 (B-POP semi-analytic code).,,,,,,,,,,,,,,,,,,,,,
