study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,study_color_code,compact_object_type
Chu_2021_BSE,Chu_γ1.7_kl_β0.9_Illustris-TNG_to_γ1.7_kh_β0.9_Illustris-TNG,Chu_2021_BSE,Chu_γ1.7_kl_β0.9_Illustris-TNG,Chu_γ1.7_kh_β0.9_Illustris-TNG,natal kick,sigma,γ1.7_kl_β0.9_Illustris-TNG to γ1.7_kh_β0.9_Illustris-TNG,kl,kh,3.5,127,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kh_β0.9_Illustris-TNG_to_γ1.7_kb_β0.9_Illustris-TNG,Chu_2021_BSE,Chu_γ1.7_kh_β0.9_Illustris-TNG,Chu_γ1.7_kb_β0.9_Illustris-TNG,natal kick,sigma,γ1.7_kh_β0.9_Illustris-TNG to γ1.7_kb_β0.9_Illustris-TNG,kh,kb,127,738,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kl_β0.9_Madau_Dickinson_to_γ1.7_kh_β0.9_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.7_kl_β0.9_Madau_Dickinson,Chu_γ1.7_kh_β0.9_Madau_Dickinson,natal kick,sigma,γ1.7_kl_β0.9_Madau_Dickinson to γ1.7_kh_β0.9_Madau_Dickinson,kl,kh,26.5,4.8,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kh_β0.9_Madau_Dickinson_to_γ1.7_kb_β0.9_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.7_kh_β0.9_Madau_Dickinson,Chu_γ1.7_kb_β0.9_Madau_Dickinson,natal kick,sigma,γ1.7_kh_β0.9_Madau_Dickinson to γ1.7_kb_β0.9_Madau_Dickinson,kh,kb,4.8,208,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kl_β0.8_Millennium-II_to_γ1.7_kh_β0.8_Millennium-II,Chu_2021_BSE,Chu_γ1.7_kl_β0.8_Millennium-II,Chu_γ1.7_kh_β0.8_Millennium-II,natal kick,sigma,γ1.7_kl_β0.8_Millennium-II to γ1.7_kh_β0.8_Millennium-II,kl,kh,16.7,61.7,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kh_β0.8_Millennium-II_to_γ1.7_kb_β0.8_Millennium-II,Chu_2021_BSE,Chu_γ1.7_kh_β0.8_Millennium-II,Chu_γ1.7_kb_β0.8_Millennium-II,natal kick,sigma,γ1.7_kh_β0.8_Millennium-II to γ1.7_kb_β0.8_Millennium-II,kh,kb,61.7,455,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kl_β0.8_EAGLE_to_γ1.7_kh_β0.8_EAGLE,Chu_2021_BSE,Chu_γ1.7_kl_β0.8_EAGLE,Chu_γ1.7_kh_β0.8_EAGLE,natal kick,sigma,γ1.7_kl_β0.8_EAGLE to γ1.7_kh_β0.8_EAGLE,kl,kh,437,899,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kh_β0.8_EAGLE_to_γ1.7_kb_β0.8_EAGLE,Chu_2021_BSE,Chu_γ1.7_kh_β0.8_EAGLE,Chu_γ1.7_kb_β0.8_EAGLE,natal kick,sigma,γ1.7_kh_β0.8_EAGLE to γ1.7_kb_β0.8_EAGLE,kh,kb,899,795,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kl_β0.8_Illustris-TNG_to_γ1.7_kh_β0.8_Illustris-TNG,Chu_2021_BSE,Chu_γ1.7_kl_β0.8_Illustris-TNG,Chu_γ1.7_kh_β0.8_Illustris-TNG,natal kick,sigma,γ1.7_kl_β0.8_Illustris-TNG to γ1.7_kh_β0.8_Illustris-TNG,kl,kh,121,100,,NS-NS
Chu_2021_BSE,Chu_γ1.7_kh_β0.8_Illustris-TNG_to_γ1.7_kb_β0.8_Illustris-TNG,Chu_2021_BSE,Chu_γ1.7_kh_β0.8_Illustris-TNG,Chu_γ1.7_kb_β0.8_Illustris-TNG,natal kick,sigma,γ1.7_kh_β0.8_Illustris-TNG to γ1.7_kb_β0.8_Illustris-TNG,kh,kb,100,89.1,,NS-NS
