compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,notes
NS-NS,observations-kilonovae,Jin_2016,Jin et al. (2016),Jin et al. (2016),2016,,https://ui.adsabs.harvard.edu/abs/2016EPJWC.10908002J/abstract,https://arxiv.org/abs/1512.04192,,lower_limit,8.1,lower,,lower limit
NS-NS,observations-kilonovae,Doctor_2017,"Doctor et al. (2017), DES",Doctor,2017,,https://ui.adsabs.harvard.edu/abs/2017ApJ...837...57D/abstract,https://arxiv.org/abs/1611.08052,,upper_limit,24000.0,upper,,upper
NS-NS,observations-kilonovae,Kasliwal_2017,"Kasliwal et al. (2017), PTF",Kasliwal,2017,,https://ui.adsabs.harvard.edu/abs/2017Sci...358.1559K/abstract,"https://arxiv.org/abs/1710.05436#:~:text=16%20Oct%202017%5D-,Illuminating%20Gravitational%20Waves%3A%20A%20Concordant%20Picture%20of,from%20a%20Neutron%20Star%20Merger&text=We%20posit%20that%20all%20merging,and%20sometimes%20a%20choked%20jet.",,upper_limit,800.0,upper,,upper limit
NS-NS,observations-kilonovae,Smartt_2017,"Smartt et al. (2017), ATLAS",Smarrt,2017,,https://ui.adsabs.harvard.edu/abs/2017Natur.551...75S/abstract,https://arxiv.org/pdf/1710.05841.pdf,,upper_limit,30000.0,upper,,upper
NS-NS,observations-kilonovae,Yang_2017,"Yang et al. (2017), DLT40",Yang,2017,12,https://ui.adsabs.harvard.edu/abs/2017ApJ...851L..48Y/abstract,https://arxiv.org/pdf/1710.05864.pdf,,upper_limit,99000.0,upper,,upper
NS-NS,observations-kilonovae,Andreoni_2021,"Andreoni et al. (2021), ZTF",Andreoni,2021,4,https://ui.adsabs.harvard.edu/abs/2021arXiv210406352A/abstract,https://arxiv.org/abs/2104.06352,,upper_limit,900.0,upper,,upper
