compact_object_type,formation_channel,study_key,label,first_author,year,month,ads_url,arxiv_url,code,plotting_style,rate_Gpc3yr,rate_type,submodel,submodel string,notes,submodel change 1,submodel change 2,sfrd-1,sfrd-2,sfrd-3,sfrd-4,sigma_kick,sigma_stripped_SN,alpha_CE,beta_MT,gamma_AM,CE_pessimistic,CE_prescription,lambda_CE,RMP,PISN_prescription,MT_stability,Eddington_limited,f_WR,stellar_tracks,binding_energy
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,109.3162,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,67.9469,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,88.5129,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,95.2364,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,56.161,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,81.0775,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,79.1,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,71.5064,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,66.9186,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,14.0798,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,deMink_2015_StarTrack,de Mink and Belczynski (2015),"{de Mink}, S.~E",2015,11,https://ui.adsabs.harvard.edu/abs/2015ApJ...814...58D/abstract,https://arxiv.org/pdf/1506.03573.pdf,StarTrack,range,340.4464,,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Lamberts_2016_BSE,Lamberts et al. (2016),"{Lamberts}, A",2016,11,https://ui.adsabs.harvard.edu/abs/2016MNRAS.463L..31L/abstract,https://arxiv.org/abs/1605.08783,BSE,single_value,850,single,,,,,,,,,,,,,,,,,,,,,,,,
BH-BH,isolated-binary-evolution,Lipunov_2017_ScenarioMachine,Lipunov et al. (2017),Lipunov,2017,2,https://arxiv.org/pdf/1605.01604.pdf,https://ui.adsabs.harvard.edu/abs/2017NewA...51..122L/abstract,Scenario Machine,single_value,100,single,,,,,,,,,,,,,,,,,,,,,,,,
