study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,study_color_code,compact_object_type
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD122,B22-Q-SFRD132,star formation history,GSMF,Q-SFRD122 to Q-SFRD132,Furlong2015-single,Furlong2015-double,288.1186423387468,293.5840186323954,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD122,B22-Q-SFRD123,star formation history,MZR,Q-SFRD122 to Q-SFRD123,LangerNorman2006+offset,Ma2016,288.1186423387468,460.31948910128517,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD123,B22-Q-SFRD223,star formation history,SFRD,Q-SFRD123 to Q-SFRD223,Madau&Dickinson2014,Strolger2004,460.31948910128517,472.44470492881936,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD123,B22-Q-SFRD133,star formation history,GSMF,Q-SFRD123 to Q-SFRD133,Furlong2015-single,Furlong2015-double,460.31948910128517,477.0096000518238,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD131,B22-Q-SFRD231,star formation history,SFRD,Q-SFRD131 to Q-SFRD231,Madau&Dickinson2014,Strolger2004,778.1409605707463,743.5303174155031,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD131,B22-Q-SFRD132,star formation history,MZR,Q-SFRD131 to Q-SFRD132,LangerNorman2006,LangerNorman2006+offset,778.1409605707463,293.5840186323954,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD132,B22-Q-SFRD232,star formation history,SFRD,Q-SFRD132 to Q-SFRD232,Madau&Dickinson2014,Strolger2004,293.5840186323954,316.1088092855962,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD132,B22-Q-SFRD133,star formation history,MZR,Q-SFRD132 to Q-SFRD133,LangerNorman2006+offset,Ma2016,293.5840186323954,477.0096000518238,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD133,B22-Q-SFRD233,star formation history,SFRD,Q-SFRD133 to Q-SFRD233,Madau&Dickinson2014,Strolger2004,477.0096000518238,488.793388322213,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD211,B22-Q-SFRD311,star formation history,SFRD,Q-SFRD211 to Q-SFRD311,Strolger2004,Madau&Fragos2017,799.3961829333621,559.1206191052331,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD211,B22-Q-SFRD221,star formation history,GSMF,Q-SFRD211 to Q-SFRD221,Panter2004,Furlong2015-single,799.3961829333621,725.6610501194726,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD211,B22-Q-SFRD212,star formation history,MZR,Q-SFRD211 to Q-SFRD212,LangerNorman2006,LangerNorman2006+offset,799.3961829333621,269.2459041161417,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD212,B22-Q-SFRD312,star formation history,SFRD,Q-SFRD212 to Q-SFRD312,Strolger2004,Madau&Fragos2017,269.2459041161417,164.88979410059775,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD212,B22-Q-SFRD222,star formation history,GSMF,Q-SFRD212 to Q-SFRD222,Panter2004,Furlong2015-single,269.2459041161417,310.1409513017088,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD212,B22-Q-SFRD213,star formation history,MZR,Q-SFRD212 to Q-SFRD213,LangerNorman2006+offset,Ma2016,269.2459041161417,473.517337061735,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD213,B22-Q-SFRD313,star formation history,SFRD,Q-SFRD213 to Q-SFRD313,Strolger2004,Madau&Fragos2017,473.517337061735,311.7935632848741,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD213,B22-Q-SFRD223,star formation history,GSMF,Q-SFRD213 to Q-SFRD223,Panter2004,Furlong2015-single,473.517337061735,472.44470492881936,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD221,B22-Q-SFRD321,star formation history,SFRD,Q-SFRD221 to Q-SFRD321,Strolger2004,Madau&Fragos2017,725.6610501194726,510.4171623201134,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD221,B22-Q-SFRD231,star formation history,GSMF,Q-SFRD221 to Q-SFRD231,Furlong2015-single,Furlong2015-double,725.6610501194726,743.5303174155031,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD221,B22-Q-SFRD222,star formation history,MZR,Q-SFRD221 to Q-SFRD222,LangerNorman2006,LangerNorman2006+offset,725.6610501194726,310.1409513017088,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD222,B22-Q-SFRD322,star formation history,SFRD,Q-SFRD222 to Q-SFRD322,Strolger2004,Madau&Fragos2017,310.1409513017088,203.19519859084355,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD222,B22-Q-SFRD232,star formation history,GSMF,Q-SFRD222 to Q-SFRD232,Furlong2015-single,Furlong2015-double,310.1409513017088,316.1088092855962,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD222,B22-Q-SFRD223,star formation history,MZR,Q-SFRD222 to Q-SFRD223,LangerNorman2006+offset,Ma2016,310.1409513017088,472.44470492881936,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD223,B22-Q-SFRD323,star formation history,SFRD,Q-SFRD223 to Q-SFRD323,Strolger2004,Madau&Fragos2017,472.44470492881936,318.83245343708325,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD223,B22-Q-SFRD233,star formation history,GSMF,Q-SFRD223 to Q-SFRD233,Furlong2015-single,Furlong2015-double,472.44470492881936,488.793388322213,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD231,B22-Q-SFRD331,star formation history,SFRD,Q-SFRD231 to Q-SFRD331,Strolger2004,Madau&Fragos2017,743.5303174155031,523.33625933055,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD231,B22-Q-SFRD232,star formation history,MZR,Q-SFRD231 to Q-SFRD232,LangerNorman2006,LangerNorman2006+offset,743.5303174155031,316.1088092855962,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD232,B22-Q-SFRD332,star formation history,SFRD,Q-SFRD232 to Q-SFRD332,Strolger2004,Madau&Fragos2017,316.1088092855962,207.45091884037723,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD232,B22-Q-SFRD233,star formation history,MZR,Q-SFRD232 to Q-SFRD233,LangerNorman2006+offset,Ma2016,316.1088092855962,488.793388322213,,NS-BH
Broekgaarden_COMPAS,"Broekgaarden et al. (2021, 2022)",COMPAS,B22-Q-SFRD233,B22-Q-SFRD333,star formation history,SFRD,Q-SFRD233 to Q-SFRD333,Strolger2004,Madau&Fragos2017,488.793388322213,329.63170420600665,,NS-BH
