DCOlabel,SFRD_variation,source_file,model_name,total_rate,without_CE_fraction,with_CE_fraction,sum_CE_fractions,sum_minus_one,fractions_sum_to_one
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,A,31.32675648888411,0.0076965369743599,0.9923034630256398,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,B,23.698756512145387,0.1034577292099857,0.896542270790014,0.9999999999999998,-2.220446049250313e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,C,26.46285308870064,0.0298306506271744,0.9701693493728256,1.0,0.0,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,D,57.45274474018278,0.0091180013218609,0.9908819986781392,1.0,0.0,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,E,0.4781624320686924,0.0,0.9999999999999999,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,F,38.81390170427433,0.0329940748645206,0.9670059251354794,1.0,0.0,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,G,40.47941621966401,0.0004692321357356,0.9995307678642642,0.9999999999999998,-2.220446049250313e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,H,21.29626617878049,0.0031603261437964,0.9967512108306322,0.9999115369744286,-8.846302557141694e-05,False
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,I,62.33594092415704,0.0027243351598828,0.997275664840117,0.9999999999999998,-2.220446049250313e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,J,80.29164876359478,0.001358596403666,0.9986414035963338,0.9999999999999998,-2.220446049250313e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,K,46.72354269453972,0.051495570808791497,0.9485044291912084,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,L,29.358961084904266,0.007961759284008,0.9920382407159919,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,M,30.732480955230592,0.0057653414890899,0.9942346585109103,1.0000000000000002,2.220446049250313e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,N,32.26249320168091,0.010464156921931499,0.9895358430780681,0.9999999999999996,-4.440892098500626e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,O,30.92710968449729,0.0083018032156442,0.9916981967843557,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,P,60.02181405196856,0.020879091663512,0.979120908336488,1.0,0.0,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,Q,169.10129239430051,0.0967275575033444,0.9032724424966556,1.0,0.0,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,R,31.78253985007218,0.0059763861706368,0.9940236138293632,1.0,0.0,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,S,27.918588397002623,0.0070831370918436,0.9929168629081564,1.0,0.0,True
NSNS,000,Formation_Channels_Local_Rates_NSNS_xyz_000.csv,T,24.020747636554965,0.0072298863452851,0.9927701136547149,1.0,0.0,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,A,51.107502861626806,0.0148456769343701,0.98515432306563,1.0,0.0,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,B,32.60868684881681,0.2616854219951914,0.7383145780048084,0.9999999999999998,-2.220446049250313e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,C,28.696276308121487,0.07750517734732,0.9224948226526798,0.9999999999999998,-2.220446049250313e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,D,72.6609955255107,0.0136163968214936,0.9863828178962495,0.9999992147177431,-7.852822568876761e-07,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,E,2.1646621608048147,0.0,1.0000000000000002,1.0000000000000002,2.220446049250313e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,F,73.41788494126193,0.0225996258488042,0.9774003741511955,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,G,76.48393628607916,0.0010235743270417,0.9989764256729583,1.0,0.0,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,H,56.00571775395549,0.0214245148802877,0.9785748000550402,0.9999993149353279,-6.850646721012765e-07,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,I,206.73441479567776,0.0028142857647023,0.9971857142352969,0.9999999999999992,-7.771561172376096e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,J,341.71206081342143,0.0044135170245158,0.9955864829754837,0.9999999999999994,-5.551115123125783e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,K,67.20774770886848,0.030793694602895702,0.9692063053971044,1.0,0.0,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,L,42.204824175178544,0.0159931763757895,0.9840068236242102,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,M,48.969031247187175,0.0186588575559638,0.9813411424440361,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,N,55.58584976580441,0.025302722966692302,0.9746972770333076,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,O,50.474454307540285,0.0140167855887908,0.9859832144112092,1.0,0.0,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,P,92.66423861585014,0.0323164733254091,0.9676835266745909,1.0,0.0,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,Q,261.4199968577629,0.1262712837114217,0.8737287162885782,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,R,51.90939691738745,0.0118560827444038,0.988143917255596,0.9999999999999998,-2.220446049250313e-16,True
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,S,46.08454802179618,0.0114882277773875,0.9885087497682674,0.9999969775456549,-3.0224543451362607e-06,False
NSNS,111,Formation_Channels_Local_Rates_NSNS_xyz_111.csv,T,50.03716545411022,0.0142029974282708,0.9857970025717289,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,A,37.97173523019278,0.00557761285232,0.9944223871476796,0.9999999999999996,-4.440892098500626e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,B,30.225888737395344,0.0695708706921684,0.9304291293078316,1.0,0.0,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,C,32.17958527464262,0.0184887437524169,0.9815112562475832,1.0,0.0,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,D,56.732545950034805,0.0069987074785474,0.9930012574694895,0.9999999649480369,-3.505196310982228e-08,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,E,0.423661379206608,0.0,0.9999999999999999,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,F,56.49388534552861,0.0431036300433755,0.9568963699566244,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,G,61.841972193394845,0.0002040588389516,0.9997959411610483,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,H,17.24836101984387,0.0065162925118802,0.9934077239314478,0.9999240164433281,-7.598355667193246e-05,False
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,I,75.31378648147398,0.0017973302825334,0.9982026697174665,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,J,75.69119720539881,0.0020530962581411,0.9979469037418589,1.0,0.0,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,K,67.86299463496277,0.0744413963073094,0.9255586036926904,0.9999999999999998,-2.220446049250313e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,L,34.04884556225352,0.0057651752041783,0.9942348247958213,0.9999999999999996,-4.440892098500626e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,M,37.0263493842396,0.004339800873487,0.9956601991265128,0.9999999999999998,-2.220446049250313e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,N,38.78100198263416,0.0084093585716687,0.9915906414283311,0.9999999999999998,-2.220446049250313e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,O,37.473916312673545,0.0057356977825559,0.9942643022174439,0.9999999999999998,-2.220446049250313e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,P,71.04270722137267,0.0162910751342328,0.9837089248657673,1.0000000000000002,2.220446049250313e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,Q,175.19970991210818,0.0945524508316066,0.9054475491683933,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,R,38.01505106726763,0.0045916911838734,0.9954083088161264,0.9999999999999998,-2.220446049250313e-16,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,S,35.81111903023323,0.0039521293664667,0.9960477388675973,0.9999998682340641,-1.317659359401091e-07,True
NSNS,112,Formation_Channels_Local_Rates_NSNS_xyz_112.csv,T,34.95295481008747,0.0081632168313601,0.9918367831686399,1.0,0.0,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,A,45.12807624971336,0.0084766747558217,0.991523325244178,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,B,34.437409908464765,0.1186231459937577,0.8813768540062422,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,C,37.189683641871326,0.0327258620748179,0.9672741379251819,0.9999999999999998,-2.220446049250313e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,D,81.48154166917624,0.0080594850261904,0.9919405057291321,0.9999999907553224,-9.244677579012262e-09,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,E,0.7631486245539096,0.0,0.9999999999999998,0.9999999999999998,-2.220446049250313e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,F,59.3393669436916,0.0326884129180792,0.9673115870819208,1.0,0.0,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,G,57.15217971171359,0.0005512137301293,0.9994487862698708,1.0,0.0,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,H,32.37513102650195,0.0036092486568828,0.9963049090035917,0.9999141576604745,-8.584233952546594e-05,False
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,I,95.9997997389536,0.0027190280595901,0.9972809719404099,1.0,0.0,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,J,125.50506041958982,0.0014605780602846,0.9985394219397152,0.9999999999999998,-2.220446049250313e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,K,68.51903175744089,0.050701685668883195,0.9492983143311167,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,L,42.04424775753349,0.0066548010277303,0.9933451989722695,0.9999999999999998,-2.220446049250313e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,M,44.32854963591461,0.0067415972804243,0.9932584027195756,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,N,46.40309970782327,0.011228601634541601,0.9887713983654582,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,O,44.56265678396034,0.0085032359553403,0.9914967640446595,0.9999999999999998,-2.220446049250313e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,P,85.82692325866313,0.0194892746793887,0.9805107253206107,0.9999999999999993,-6.661338147750939e-16,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,Q,242.56472446746227,0.1002262126552849,0.8997737873447151,1.0,0.0,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,R,45.76342388676984,0.0064262414617204,0.9935737585382796,1.0,0.0,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,S,40.50393236513766,0.0075056406384325,0.9924943244958464,0.9999999651342789,-3.4865721088017665e-08,True
NSNS,113,Formation_Channels_Local_Rates_NSNS_xyz_113.csv,T,36.73937689457651,0.0076516479057961,0.9923483520942039,1.0,0.0,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,A,51.3341971308817,0.0169435937395526,0.9830564062604472,0.9999999999999998,-2.220446049250313e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,B,30.868501213926194,0.2471175242537812,0.7528824757462186,0.9999999999999998,-2.220446049250313e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,C,27.550215419770947,0.0801897935763737,0.9198102064236261,0.9999999999999998,-2.220446049250313e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,D,70.49464810157973,0.0151247089743686,0.9848733119388534,0.999998020913222,-1.979086778014505e-06,False
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,E,2.027615527722634,0.0,1.0,1.0,0.0,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,F,68.62719106428008,0.021316534916185098,0.9786834650838145,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,G,79.56265883550289,0.0008938549634297,0.9991061450365701,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,H,49.38205588428404,0.0246183180966828,0.9753782450337078,0.9999965631303906,-3.4368696093523e-06,False
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,I,211.21370909527056,0.0032348912586625,0.9967651087413374,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,J,365.2955687124561,0.0050834248292992,0.9949165751707008,1.0,0.0,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,K,65.58629802512591,0.031148325358267698,0.9688516746417322,0.9999999999999999,-1.1102230246251565e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,L,42.637868492292206,0.0162921714811909,0.9837078285188092,1.0000000000000002,2.220446049250313e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,M,48.35290583977909,0.0204170539424866,0.9795829460575136,1.0000000000000002,2.220446049250313e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,N,55.76920642291429,0.026170171503515298,0.9738298284964844,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,O,50.59511883798439,0.015905433949461,0.9840945660505391,1.0000000000000002,2.220446049250313e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,P,91.3247999874993,0.0361541617183581,0.9638458382816415,0.9999999999999996,-4.440892098500626e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,Q,249.3594577301932,0.1369230213849993,0.8630769786150007,1.0,0.0,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,R,51.8913601016887,0.0137515045075015,0.9862484954924982,0.9999999999999997,-3.3306690738754696e-16,True
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,S,46.30508738829805,0.0115177798019835,0.988473377045429,0.9999911568474126,-8.843152587423297e-06,False
NSNS,121,Formation_Channels_Local_Rates_NSNS_xyz_121.csv,T,49.10310398575011,0.0148516838307135,0.985148316169286,0.9999999999999994,-5.551115123125783e-16,True
NSNS,122,Formation_Channels_Local_Rates_NSNS_xyz_122.csv,A,38.70922049325807,0.0078843291938772,0.9921156708061225,0.9999999999999997,-3.3306690738754696e-16,True
